use_case,institutional_decision_or_action,minimum_evidence_package,authority_boundary,primary_metrics
Executive decision intelligence,Select among consequential strategic options,"Primary-source map; claims and contradictions; scenario model; risk and option ledger",Board or named executive disposition,"Decision latency; claim support; scenario robustness; unresolved-risk visibility"
AI procurement and vendor authorization,"Approve, restrict, pilot, or reject an AI system for a defined workflow","Equal-budget task runs; data boundary; security and policy evidence; cost and reliability ledger","Procurement, risk, legal, security, and business owner","Replay rate; policy-pass rate; false acceptance; total cost; exit readiness"
Autonomous software delivery,Propose and validate a patch or release candidate,"Diff; tests; dependency and provenance records; rollout plan; rollback target",Human merge and deployment authority,"Test pass; regression rate; change-failure rate; rollback readiness; review time"
Defensive cybersecurity remediation,Turn a defensive finding into a safe reviewable remediation,"Finding evidence; minimal patch; secret-safe logs; policy checks; incident and rollback record",Human security and repository owner,"Finding validity; secret leakage=0; external scans=0; replay; safe PR acceptance"
Scientific discovery and experimental design,Prioritize hypotheses and design falsifiable experiments,"Literature provenance; contradiction graph; experimental controls; assay plan; uncertainty ledger","Scientist, lab, IRB/safety, or domain authority","Hypothesis quality; assay reproducibility; negative controls; cost per informative result"
Critical infrastructure and energy resilience,"Recommend bounded interventions for resilience, energy, logistics, or operations","Baseline; sensor/model provenance; intervention scenarios; sensitivity, safety, cost, and rollback",Asset owner and operating authority,"Baseline fidelity; scenario sensitivity; pilot safety; measured outcome; recovery time"
Policy and regulatory mission operations,Compare policy options and implementation consequences,"Primary law and guidance; stakeholder map; impact scenarios; dissent and claim boundary",Authorized public or institutional decision-maker,"Source freshness; contradiction coverage; distributional impact visibility; review trace"
M&A partnership and investment diligence,"Test strategic claims, dependencies, synergies, and failure conditions","Claim matrix; source room; red flags; counterfactuals; integration and value-realization conditions",Investment committee or transaction authority,"Unsupported-claim reduction; risk discovery; option value; condition coverage; decision speed"
Proof-gated agentic work market,"Commission, execute, validate, challenge, and prepare settlement for machine labor","Identity; job charter; coalition record; receipts; validator opinions; dispute and allocation intent",Human settlement authority or governed contract boundary,"Proof completeness; validator independence; dispute rate; contribution fidelity; settlement latency"
Autonomous publication and institutional communication,Generate public artifacts from proof-aligned source without direct website editing,"Source lineage; deterministic build; link and claim QA; visual regression; human-review PR",Human publication reviewer,"Broken links=0; unsupported claims=0; visual defects=0; provenance completeness"
